product_category,product_name,product_price,product_price_unit,product_url,image_url
Thực phẩm tươi sống,Xoài giống Đài Loan(DAI)-500G UP,"22,000 ₫",/ Ký,https://online.mmvietnam.com/xoai-giong-dai-loan-6-10-76662.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/7/6/76662.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Gà ta tứ quý MM,"109,000 ₫",/ Ký,https://online.mmvietnam.com/ga-ta-tu-quy-mm-1028055-10-351053.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/5/351053-1.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Bào ngư nhập khẩu Trung Quốc đông lạnh, 900g","339,000 ₫",/ Gói,https://online.mmvietnam.com/,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/5/456472.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Tôm sú hấp đông lạnh We Are Fresh 21-25 con/kg,"446,000 ₫",/ Gói,https://online.mmvietnam.com/tom-su-hap-dong-lanh-we-are-fresh-21-25-1kg-1138590-10-442759.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/4/442759.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Tôm sú tươi đông lạnh We Are Fresh 51-60 con/kg,"276,000 ₫",/ Gói,https://online.mmvietnam.com/tom-su-hap-dong-lanh-we-are-fresh-51-60-1kg-1138588-10-442758.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/4/442758.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Củ dền Đà Lạt, 1kg","26,000 ₫",/ Gói,https://online.mmvietnam.com/beetroot-1kg-442574-24425742-20240704.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/4/442574.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Su hào Đà Lạt, 1kg","24,000 ₫",/ Gói,https://online.mmvietnam.com/kohlrabi-1kg-442562-24425629-20240704.html,https://mmpro.vn/media/catalog/product/placeholder/default/logommvn-320.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Mực nút Foodymart đông lạnh, 500g","75,000 ₫",/ Gói,https://online.mmvietnam.com/muc-nut-foodymart-dong-lanh-500g-1021501-10-437797.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/3/437797.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Cá hồi Chile fillet thăn tươi,"499,000 ₫",/ Ký,https://online.mmvietnam.com/ca-hoi-chile-fillet-than-tuoi-994394-10-434249.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/3/434249.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Táo Envy xuất xứ Mỹ, túi 1kg","179,000 ₫",/ Hộp,https://online.mmvietnam.com/usa-envy-apple-bag-1kg-430806-24308069-20240116.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/3/430806.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
